step,loss,expert_tail_theta,vae_tail_theta,expert_success,vae_success
30,0.6616629958152771,0.003206692139307658,1.214528496729003,1.0,0.16666666666666666
60,0.4211401641368866,0.0020853751235538056,1.303589924507671,1.0,0.0
90,0.17852091789245605,0.0026101417011684842,1.197778933578067,1.0,0.16666666666666666
120,0.13357098400592804,0.003532248073154026,1.3889905217621061,1.0,0.0
150,0.1162600964307785,0.003726394971211751,0.9010375592443678,1.0,0.16666666666666666
180,0.10247913748025894,0.003082870112525092,0.8768528229660458,1.0,0.3333333333333333
210,0.08665508776903152,0.0027245826191372342,0.3302952736616135,1.0,0.6666666666666666
240,0.07143612951040268,0.0036853717433081735,0.40323868493239085,1.0,0.6666666666666666
270,0.05655384808778763,0.002512085437774658,0.0033551467789544004,1.0,1.0
300,0.04707915708422661,0.0028034587701161705,0.0031277358531951907,1.0,1.0
330,0.03703843802213669,0.0031286266114976674,0.03271240856912401,1.0,0.8333333333333334
360,0.031740374863147736,0.0023880302906036377,0.18218580914868251,1.0,0.8333333333333334
390,0.02685372903943062,0.00391901797718472,0.0022871328724755184,1.0,1.0
420,0.02555721625685692,0.002816157870822483,0.0017622086736891005,1.0,1.0
450,0.025463156402111053,0.002805109156502618,0.0030730797184838187,1.0,1.0
480,0.022636208683252335,0.0032442086272769506,0.004485362768173217,1.0,1.0
