step,loss,expert_tail_theta,diffusion_tail_theta,expert_success,diffusion_success
30,0.905863881111145,0.0019710004329681397,2.486814386314816,1.0,0.0
60,0.794727087020874,0.0029438734054565434,2.558920872211456,1.0,0.0
90,0.7295346260070801,0.0025165239969889325,2.439980798297458,1.0,0.0
120,0.7473024129867554,0.002478092246585422,2.558827945921156,1.0,0.0
150,0.71599280834198,0.0022837261358896895,2.481967806816101,1.0,0.0
180,0.7313377857208252,0.0029989984300401473,2.4378906455304885,1.0,0.0
210,0.7091752290725708,0.0022903144359588622,2.523229952653249,1.0,0.0
240,0.6894208192825317,0.0029540525542365178,2.4511823700533975,1.0,0.0
270,0.6746913194656372,0.0022810982333289253,2.467456540134218,1.0,0.0
300,0.651962161064148,0.0025084853172302247,2.45999689300855,1.0,0.0
330,0.6224194765090942,0.0031312982241312663,2.4393534236484107,1.0,0.0
360,0.6525368690490723,0.0021195219622717966,2.3510843184259205,1.0,0.0
390,0.6230829954147339,0.0018555104732513427,2.4641634735796187,1.0,0.0
420,0.5975155830383301,0.0032360308700137667,2.3634990712006885,1.0,0.0
450,0.5831426382064819,0.002512586779064602,2.2841210464636483,1.0,0.0
480,0.5582097172737122,0.0031563454204135474,2.4108276698324413,1.0,0.0
510,0.5448598861694336,0.0018785721725887723,2.4502737594975366,1.0,0.0
540,0.4993366301059723,0.0023919893635643854,2.4890567176871827,1.0,0.0
570,0.47524821758270264,0.0026397864023844403,2.1649571355846193,1.0,0.0
600,0.45811471343040466,0.0020987815327114527,2.4753497901890014,1.0,0.0
630,0.4159252643585205,0.002794126007292006,2.2633420421017543,1.0,0.0
660,0.4313260316848755,0.003464416662851969,2.1407831655608285,1.0,0.0
690,0.3910275101661682,0.002868957651986016,2.086368650197983,1.0,0.0
720,0.3702041804790497,0.0025741961267259383,1.4823436409235,1.0,0.0
750,0.4017651677131653,0.002473079495959812,1.9258252776331373,1.0,0.0
780,0.3748721480369568,0.0019416954782274032,0.6169800562991036,1.0,0.6666666666666666
810,0.3641129434108734,0.0041235791312323675,0.788627995716201,1.0,0.6666666666666666
840,0.3423824906349182,0.0026552365885840518,0.5519336654080286,1.0,0.6666666666666666
870,0.3475789427757263,0.0031160884433322484,0.21559670137034517,1.0,0.8333333333333334
900,0.3414464592933655,0.003910848829481337,0.40056099361843533,1.0,0.6666666666666666
930,0.31833791732788086,0.0025087959236568874,0.02145524952146742,1.0,1.0
960,0.32298219203948975,0.0020892977714538573,0.619217398431566,1.0,0.5
990,0.31247058510780334,0.0022198253207736545,0.002600240707397461,1.0,1.0
1020,0.2921909987926483,0.0027316298749711777,0.1607467333475749,1.0,0.8333333333333334
1050,0.32796257734298706,0.0034735951158735485,0.3365941103961732,1.0,0.8333333333333334
1080,0.31276077032089233,0.0029533856444888644,0.00271971689330207,1.0,1.0
1110,0.29786217212677,0.0022728443145751953,0.004587214522891574,1.0,1.0
1140,0.29917290806770325,0.0021030445893605552,0.0067409482267167834,1.0,1.0
1170,0.31251055002212524,0.0019992987314860025,0.005527297655741374,1.0,1.0
1200,0.2909342050552368,0.002210268709394667,0.003981699546178182,1.0,1.0
1230,0.30139458179473877,0.003402025832070245,0.06008721391359965,1.0,0.8333333333333334
1260,0.3073272109031677,0.0035775118403964575,0.004393092791239421,1.0,1.0
1290,0.2902243733406067,0.003718184762530856,0.0023706588480207655,1.0,1.0
